song_id,valence_mean,valence_std,arousal_mean,arousal_std,test,validation,Q1,Q2,Q3,Q4
2,3.1,0.94,3.0,0.63,0,0,0,0,1,0
3,3.5,1.75,3.3,1.62,0,0,0,0,1,0
4,5.7,1.42,5.5,1.63,0,0,1,0,0,0
5,4.4,2.01,5.3,1.85,0,0,0,1,0,0
7,5.8,1.47,6.4,1.69,0,0,1,0,0,0
8,3.2,1.4,4.8,1.54,1,0,0,0,1,0
10,4.0,1.67,4.7,1.85,1,0,0,0,1,0
12,5.5,1.91,5.8,1.89,1,0,1,0,0,0
13,3.2,1.4,4.0,1.67,0,0,0,0,1,0
17,4.4,1.8,6.0,2.05,1,0,0,1,0,0
18,4.8,1.72,3.9,1.37,0,0,0,0,1,0
19,5.9,1.64,4.3,1.9,0,0,0,0,0,1
20,5.4,2.5,6.5,2.11,1,0,1,0,0,0
21,6.6,0.92,6.3,1.42,0,0,1,0,0,0
22,4.0,1.34,4.8,1.47,0,0,0,0,1,0
24,5.3,1.62,3.9,1.76,0,0,0,0,0,1
25,7.9,0.7,4.7,2.53,0,0,0,0,0,1
31,4.7,1.55,3.8,1.54,0,0,0,0,1,0
32,4.2,1.78,3.3,1.49,0,0,0,0,1,0
35,4.8,2.14,6.5,2.11,0,0,0,1,0,0
37,6.6,2.11,5.3,2.0,0,0,1,0,0,0
39,7.3,1.85,5.4,2.37,0,0,1,0,0,0
40,4.6,1.28,4.8,1.54,0,0,0,0,1,0
41,4.3,1.62,5.1,1.3,0,0,0,1,0,0
42,6.1,1.58,5.1,1.92,1,0,1,0,0,0
43,6.7,2.33,3.5,1.5,0,0,0,0,0,1
44,3.9,1.04,4.9,1.58,0,0,0,1,0,0
45,5.1,2.43,2.1,1.37,0,0,0,0,0,1
46,5.3,1.95,4.0,1.73,0,0,0,0,0,1
47,4.4,1.74,4.4,1.56,0,0,0,0,1,0
48,4.5,1.86,4.8,1.78,0,0,0,0,1,0
49,3.9,1.3,5.3,1.19,0,0,0,1,0,0
50,3.6,1.02,4.8,1.08,0,0,0,0,1,0
51,3.6,1.11,3.2,0.98,0,0,0,0,1,0
52,4.6,1.11,5.1,1.81,1,0,0,1,0,0
53,4.3,2.37,5.1,1.7,0,0,0,1,0,0
54,3.1,1.58,3.3,1.62,0,0,0,0,1,0
55,5.8,1.33,5.4,1.11,0,1,1,0,0,0
56,6.4,1.43,5.8,1.4,0,0,1,0,0,0
58,3.3,1.55,3.4,1.56,0,0,0,0,1,0
59,5.3,1.73,4.1,1.92,0,0,0,0,0,1
60,4.3,1.49,6.4,0.49,1,0,0,1,0,0
62,6.2,0.87,3.9,1.22,0,0,0,0,0,1
64,3.6,1.28,4.9,1.58,0,1,0,1,0,0
65,6.4,1.43,5.8,1.83,0,1,1,0,0,0
67,7.2,0.75,6.8,1.4,0,0,1,0,0,0
68,3.8,1.33,4.9,1.64,0,0,0,1,0,0
69,3.2,0.87,3.9,0.83,1,0,0,0,1,0
70,4.4,1.69,3.6,1.43,0,0,0,0,1,0
71,5.9,1.51,3.7,0.78,0,0,0,0,0,1
72,6.7,1.73,5.6,2.01,0,0,1,0,0,0
73,5.8,1.72,5.6,1.74,0,0,1,0,0,0
74,3.0,1.67,4.3,1.42,0,0,0,0,1,0
76,4.3,1.42,3.2,1.83,0,0,0,0,1,0
77,4.2,2.04,2.9,1.14,0,0,0,0,1,0
78,3.4,1.56,3.9,1.92,0,0,0,0,1,0
79,5.5,2.11,5.5,1.36,0,0,1,0,0,0
80,6.0,1.34,5.1,1.37,0,1,1,0,0,0
81,6.1,1.92,3.9,1.7,1,0,0,0,0,1
82,2.9,1.45,3.5,1.63,0,0,0,0,1,0
83,6.1,1.04,5.8,1.72,0,0,1,0,0,0
84,5.9,2.02,5.6,1.74,0,0,1,0,0,0
85,7.1,1.14,6.2,1.6,1,0,1,0,0,0
86,5.4,1.62,5.6,1.2,0,0,1,0,0,0
87,5.3,2.45,2.6,0.92,1,0,0,0,0,1
88,6.7,1.73,5.5,1.28,0,0,1,0,0,0
89,4.5,2.29,4.8,2.04,0,0,0,0,1,0
90,4.3,1.73,4.2,1.72,0,0,0,0,1,0
91,4.5,1.43,5.5,1.2,0,0,0,1,0,0
92,5.8,2.18,4.7,1.79,0,0,0,0,0,1
93,7.2,0.75,6.0,1.73,0,0,1,0,0,0
95,3.3,1.85,4.6,2.2,0,0,0,0,1,0
96,6.8,1.33,6.9,1.3,1,0,1,0,0,0
98,4.3,1.73,2.7,1.42,0,0,0,0,1,0
99,4.3,1.85,4.1,1.97,0,0,0,0,1,0
101,3.4,1.62,2.8,0.87,0,0,0,0,1,0
102,6.5,0.92,5.4,1.56,0,0,1,0,0,0
103,5.6,1.91,3.3,1.79,0,1,0,0,0,1
104,6.1,1.81,3.3,1.79,0,0,0,0,0,1
105,6.5,1.43,5.0,1.41,0,0,1,0,0,0
106,4.6,1.5,3.3,1.19,0,0,0,0,1,0
107,6.0,2.0,4.8,2.14,1,0,0,0,0,1
108,4.5,1.63,4.2,1.94,0,1,0,0,1,0
109,4.4,2.24,4.5,1.5,0,0,0,0,1,0
110,4.4,1.8,2.8,0.87,1,0,0,0,1,0
111,5.3,1.27,5.3,1.42,0,0,1,0,0,0
112,6.8,0.98,6.4,1.56,0,0,1,0,0,0
113,5.4,1.28,3.8,0.87,0,0,0,0,0,1
114,4.8,0.75,5.7,0.9,1,0,0,1,0,0
115,8.4,0.66,7.8,1.17,1,0,1,0,0,0
116,4.4,1.56,3.9,1.22,0,0,0,0,1,0
117,3.9,1.45,5.0,1.73,0,0,0,1,0,0
118,4.9,1.92,4.6,1.85,1,0,0,0,1,0
119,4.3,2.28,3.2,1.25,0,0,0,0,1,0
120,3.8,1.6,5.0,1.61,0,0,0,1,0,0
121,3.1,0.83,3.9,1.51,0,0,0,0,1,0
122,5.5,1.91,4.6,1.85,0,0,0,0,0,1
123,6.1,1.58,6.2,1.47,0,0,1,0,0,0
124,3.7,1.27,2.8,0.75,1,0,0,0,1,0
125,4.5,1.86,4.2,1.33,0,0,0,0,1,0
126,5.1,1.64,6.1,1.37,0,0,1,0,0,0
127,3.0,1.84,5.3,1.68,1,0,0,1,0,0
128,3.6,1.43,4.0,1.55,0,0,0,0,1,0
129,4.2,1.72,6.0,1.67,0,0,0,1,0,0
130,3.3,1.42,4.2,1.33,0,0,0,0,1,0
131,6.1,1.04,4.9,1.64,0,1,1,0,0,0
133,2.8,1.99,2.2,1.17,0,0,0,0,1,0
134,5.4,1.74,6.0,1.18,1,0,1,0,0,0
135,3.7,2.24,3.5,1.43,0,0,0,0,1,0
136,6.8,1.33,6.2,1.08,0,0,1,0,0,0
137,4.3,1.68,5.8,1.33,0,0,0,1,0,0
138,3.8,2.64,2.4,0.92,0,0,0,0,1,0
140,4.2,1.47,4.5,2.01,0,0,0,0,1,0
142,4.6,1.8,4.8,1.72,1,0,0,0,1,0
143,4.0,1.73,4.9,1.45,0,0,0,1,0,0
144,3.4,1.11,4.7,0.9,0,0,0,0,1,0
145,3.1,1.92,5.4,1.91,0,0,0,1,0,0
146,2.4,1.8,3.5,1.91,0,0,0,0,1,0
148,4.7,1.19,5.0,2.05,0,0,0,1,0,0
149,3.4,1.85,3.1,1.92,1,0,0,0,1,0
150,5.0,2.45,5.4,2.2,1,0,0,1,0,0
151,4.0,1.95,4.5,1.28,0,0,0,0,1,0
152,4.4,1.62,5.6,1.43,0,0,0,1,0,0
153,3.9,1.92,4.5,1.69,1,0,0,0,1,0
154,4.2,1.66,4.1,1.87,0,0,0,0,1,0
155,3.6,1.96,5.4,0.92,0,0,0,1,0,0
156,6.4,1.2,6.7,0.46,1,0,1,0,0,0
157,4.0,1.67,6.2,1.08,1,0,0,1,0,0
158,2.1,0.7,3.6,1.43,1,0,0,0,1,0
159,3.8,2.56,3.1,1.81,0,0,0,0,1,0
160,3.5,2.11,3.5,1.57,0,0,0,0,1,0
161,6.3,1.19,3.5,1.91,0,0,0,0,0,1
162,3.7,1.68,4.6,1.02,0,0,0,0,1,0
163,3.6,1.28,4.5,1.36,0,0,0,0,1,0
164,4.1,1.7,2.9,1.97,0,0,0,0,1,0
166,3.1,1.45,4.2,1.08,0,0,0,0,1,0
167,2.7,1.35,3.3,1.62,0,0,0,0,1,0
168,3.3,1.35,3.4,1.56,1,0,0,0,1,0
169,2.4,0.8,2.8,1.08,0,1,0,0,1,0
170,3.0,1.55,5.0,1.48,0,0,0,1,0,0
171,2.1,0.7,3.6,1.74,0,0,0,0,1,0
172,3.8,2.23,5.0,2.24,0,0,0,1,0,0
173,4.6,1.69,2.2,1.17,0,0,0,0,1,0
174,4.0,1.61,3.8,1.4,1,1,0,0,1,0
175,3.7,1.35,4.3,1.55,0,0,0,0,1,0
176,2.4,1.62,3.9,1.58,1,0,0,0,1,0
177,4.8,1.4,5.6,1.74,0,0,0,1,0,0
178,2.8,2.09,3.7,2.1,0,0,0,0,1,0
179,5.2,2.04,6.0,1.95,1,0,1,0,0,0
180,4.8,1.89,5.9,1.37,1,0,0,1,0,0
181,3.7,2.1,2.5,0.92,0,0,0,0,1,0
182,2.2,0.87,3.7,2.05,0,0,0,0,1,0
184,3.6,1.85,3.4,1.11,0,0,0,0,1,0
185,4.9,1.92,4.6,1.36,0,0,0,0,1,0
186,3.7,1.68,4.0,1.61,0,0,0,0,1,0
187,2.5,1.86,3.7,1.95,0,0,0,0,1,0
188,4.0,1.55,3.3,1.55,1,0,0,0,1,0
189,6.5,1.63,7.1,1.58,1,0,1,0,0,0
190,2.8,1.83,3.1,1.3,0,0,0,0,1,0
191,5.1,2.02,6.3,1.9,0,1,1,0,0,0
192,5.8,0.6,6.1,0.54,1,0,1,0,0,0
193,4.1,1.81,3.0,1.34,0,0,0,0,1,0
194,2.7,1.79,4.7,1.27,1,1,0,0,1,0
195,4.2,1.94,2.7,0.78,0,0,0,0,1,0
196,4.3,1.68,4.5,1.63,0,0,0,0,1,0
197,2.2,1.4,2.8,1.33,0,0,0,0,1,0
198,1.9,0.7,3.3,1.79,0,1,0,0,1,0
199,5.3,1.49,5.7,1.27,0,0,1,0,0,0
201,3.7,1.49,4.8,1.54,0,1,0,0,1,0
202,4.6,1.36,5.2,1.4,0,0,0,1,0,0
203,3.5,1.96,4.8,1.66,1,0,0,0,1,0
204,3.6,2.01,2.2,0.98,0,0,0,0,1,0
205,3.0,1.41,4.5,2.01,0,0,0,0,1,0
206,2.3,0.78,2.6,1.02,0,0,0,0,1,0
207,4.8,2.09,4.8,2.44,0,0,0,0,1,0
208,4.8,2.04,6.5,1.02,0,0,0,1,0,0
209,3.1,0.94,4.6,1.85,0,0,0,0,1,0
210,4.2,2.14,5.5,2.16,0,0,0,1,0,0
211,3.1,1.22,4.9,0.83,0,0,0,1,0,0
212,4.6,1.56,5.4,1.8,0,0,0,1,0,0
213,2.6,1.5,2.5,1.63,0,1,0,0,1,0
214,3.6,1.96,4.1,1.58,0,0,0,0,1,0
215,3.2,2.09,2.6,1.2,0,0,0,0,1,0
216,4.5,1.57,5.3,1.1,0,0,0,1,0,0
217,3.5,1.57,4.8,1.6,1,0,0,0,1,0
218,2.9,1.37,4.0,1.48,0,0,0,0,1,0
219,2.4,0.8,3.8,1.47,0,0,0,0,1,0
220,4.1,1.51,3.4,1.02,0,0,0,0,1,0
221,4.3,1.55,3.4,1.8,1,0,0,0,1,0
222,3.8,1.33,4.3,2.37,0,0,0,0,1,0
223,2.2,1.08,3.5,2.16,0,0,0,0,1,0
224,5.5,1.5,5.7,1.79,0,0,1,0,0,0
225,3.7,1.85,4.2,1.6,0,0,0,0,1,0
226,4.9,1.7,5.0,1.55,0,0,0,1,0,0
227,3.1,1.14,3.5,1.5,0,0,0,0,1,0
228,3.5,1.63,4.0,1.26,0,0,0,0,1,0
229,4.8,1.6,4.8,1.47,0,0,0,0,1,0
231,4.1,1.45,5.6,1.69,0,0,0,1,0,0
232,2.5,1.75,2.7,1.0,1,0,0,0,1,0
233,4.7,1.49,4.5,1.8,0,0,0,0,1,0
234,3.5,2.38,3.9,1.45,0,1,0,0,1,0
235,3.0,1.1,3.7,1.35,0,0,0,0,1,0
236,2.5,1.5,2.4,1.2,0,0,0,0,1,0
237,4.2,2.09,3.9,1.3,0,0,0,0,1,0
238,3.0,1.95,4.6,1.8,0,0,0,0,1,0
239,2.3,1.9,3.3,1.55,0,1,0,0,1,0
240,6.4,1.36,6.6,1.02,0,0,1,0,0,0
241,4.1,2.12,4.6,1.36,0,0,0,0,1,0
242,3.5,1.75,4.7,1.55,0,1,0,0,1,0
243,7.2,1.4,4.1,2.17,0,1,0,0,0,1
244,4.3,1.35,4.2,1.66,1,0,0,0,1,0
245,4.2,1.99,6.1,1.58,1,0,0,1,0,0
246,4.9,2.66,3.2,2.04,1,0,0,0,1,0
247,3.9,1.22,4.5,1.28,0,0,0,0,1,0
248,3.4,1.56,3.7,1.0,1,0,0,0,1,0
250,3.4,2.06,3.6,1.36,0,0,0,0,1,0
253,6.6,1.56,2.5,0.81,0,0,0,0,0,1
254,5.3,2.28,7.4,1.11,1,0,1,0,0,0
257,7.6,1.5,6.9,1.7,0,0,1,0,0,0
258,4.3,1.35,4.3,1.35,0,0,0,0,1,0
260,5.3,1.42,3.6,1.62,1,0,0,0,0,1
262,5.6,1.5,6.9,0.94,1,0,1,0,0,0
264,5.3,1.27,5.5,1.5,0,0,1,0,0,0
265,4.5,1.69,6.4,0.66,1,0,0,1,0,0
266,3.6,1.5,4.8,1.94,0,0,0,0,1,0
269,4.3,1.73,4.8,1.94,0,1,0,0,1,0
270,6.1,1.64,7.1,1.64,0,0,1,0,0,0
272,5.9,1.81,6.4,1.85,0,0,1,0,0,0
273,5.4,1.74,7.2,0.87,0,0,1,0,0,0
274,7.7,0.9,6.0,2.0,0,0,1,0,0,0
275,5.3,1.42,5.5,1.02,0,0,1,0,0,0
276,6.1,1.51,5.3,1.68,1,0,1,0,0,0
278,5.5,2.06,5.1,1.64,0,0,1,0,0,0
279,3.6,1.2,4.7,1.42,0,0,0,0,1,0
280,4.2,1.66,3.3,1.1,0,0,0,0,1,0
281,5.4,2.29,7.0,1.18,0,0,1,0,0,0
282,3.2,1.66,4.2,0.75,1,0,0,0,1,0
284,4.4,1.5,5.2,1.17,0,1,0,1,0,0
285,3.5,1.02,5.1,1.37,0,0,0,1,0,0
286,5.7,1.95,6.9,1.87,0,0,1,0,0,0
288,3.5,1.86,5.2,1.78,0,0,0,1,0,0
289,5.7,1.9,6.7,1.0,0,0,1,0,0,0
290,2.1,0.83,3.9,1.58,1,1,0,0,1,0
292,7.3,1.0,7.4,0.92,0,0,1,0,0,0
293,6.3,1.62,4.2,1.94,0,1,0,0,0,1
294,5.5,2.11,6.5,1.91,0,0,1,0,0,0
296,5.9,0.94,5.7,1.27,0,0,1,0,0,0
297,3.1,1.3,3.6,1.36,0,0,0,0,1,0
298,4.0,1.73,5.4,1.69,0,0,0,1,0,0
299,2.8,1.89,4.3,1.27,0,0,0,0,1,0
300,6.8,1.08,4.5,1.86,0,1,0,0,0,1
301,3.2,1.47,3.7,1.73,0,0,0,0,1,0
302,6.6,2.2,7.0,1.48,0,0,1,0,0,0
303,7.0,1.1,6.4,1.74,0,0,1,0,0,0
304,3.8,1.78,4.6,1.69,1,0,0,0,1,0
305,6.4,1.11,6.8,0.98,0,0,1,0,0,0
306,5.7,2.19,6.7,1.73,0,0,1,0,0,0
307,6.1,1.04,6.8,1.4,1,0,1,0,0,0
308,4.3,1.68,6.6,0.92,0,0,0,1,0,0
309,5.3,1.68,5.8,1.78,0,0,1,0,0,0
310,2.1,0.83,2.7,1.0,1,0,0,0,1,0
311,5.8,1.6,6.9,0.94,1,0,1,0,0,0
312,4.6,1.28,5.8,1.6,0,0,0,1,0,0
313,3.6,1.36,5.3,1.27,0,0,0,1,0,0
314,5.8,1.17,5.9,1.22,1,0,1,0,0,0
315,6.4,1.43,7.5,0.81,0,0,1,0,0,0
316,2.8,1.33,3.5,1.96,0,0,0,0,1,0
317,6.1,1.7,4.3,1.35,0,0,0,0,0,1
318,5.9,1.7,5.9,1.45,0,1,1,0,0,0
319,4.5,1.96,6.6,0.8,1,0,0,1,0,0
320,7.4,1.28,6.6,1.43,1,0,1,0,0,0
321,7.3,0.78,6.0,1.73,0,0,1,0,0,0
322,6.1,1.22,7.6,1.02,0,0,1,0,0,0
323,4.82,1.4,5.73,1.48,0,0,0,1,0,0
324,3.3,1.68,4.7,1.42,0,0,0,0,1,0
325,5.5,1.75,5.4,2.06,0,1,1,0,0,0
326,5.4,1.56,7.2,1.25,0,0,1,0,0,0
327,6.0,1.34,7.1,1.3,1,0,1,0,0,0
328,5.2,1.6,4.2,2.09,0,0,0,0,0,1
329,3.3,2.28,4.2,2.23,1,0,0,0,1,0
330,5.9,2.3,3.1,1.87,0,0,0,0,0,1
332,5.5,1.12,6.9,0.83,0,0,1,0,0,0
333,6.7,1.55,6.1,1.7,0,0,1,0,0,0
334,5.9,1.64,5.9,1.92,1,0,1,0,0,0
335,6.8,1.47,6.8,1.33,0,0,1,0,0,0
336,6.1,1.51,6.6,1.5,0,0,1,0,0,0
338,3.0,0.77,3.8,1.47,0,0,0,0,1,0
339,5.9,1.58,6.9,1.14,0,0,1,0,0,0
340,3.8,2.36,4.6,1.91,0,0,0,0,1,0
341,3.8,1.78,4.4,1.69,0,0,0,0,1,0
342,4.0,2.05,5.1,2.12,0,0,0,1,0,0
343,7.0,1.73,8.1,0.83,0,0,1,0,0,0
344,4.6,1.74,5.2,1.6,0,0,0,1,0,0
345,7.2,1.54,6.5,1.86,0,0,1,0,0,0
346,6.7,1.0,7.3,1.55,0,0,1,0,0,0
347,3.82,0.94,5.82,0.94,0,0,0,1,0,0
348,5.0,1.55,5.7,1.73,0,1,0,1,0,0
349,4.6,1.69,5.8,1.89,0,0,0,1,0,0
350,6.0,1.9,6.5,1.8,0,0,1,0,0,0
352,5.5,1.36,4.5,1.43,1,0,0,0,0,1
353,4.0,1.95,4.8,2.04,0,0,0,0,1,0
354,7.1,0.94,6.4,1.28,0,0,1,0,0,0
355,5.1,1.81,6.5,1.2,1,0,1,0,0,0
356,4.6,1.85,5.6,1.36,0,1,0,1,0,0
357,4.8,1.4,6.5,1.2,1,0,0,1,0,0
358,5.6,1.43,4.2,1.6,0,0,0,0,0,1
359,2.5,1.12,3.7,1.62,0,0,0,0,1,0
360,2.5,1.36,5.5,1.57,1,0,0,1,0,0
361,2.55,1.3,3.36,1.61,0,0,0,0,1,0
362,4.0,1.67,5.9,0.83,0,0,0,1,0,0
364,5.5,1.43,6.5,1.12,0,0,1,0,0,0
365,6.0,1.55,7.1,0.83,0,0,1,0,0,0
366,6.9,0.94,6.1,1.3,0,0,1,0,0,0
367,3.1,1.58,2.7,0.64,0,0,0,0,1,0
368,4.8,1.83,6.1,1.58,0,0,0,1,0,0
369,2.9,0.7,3.4,0.8,1,0,0,0,1,0
370,3.8,1.89,3.4,1.8,1,0,0,0,1,0
371,5.2,1.6,6.6,1.02,0,0,1,0,0,0
372,3.6,1.2,4.8,1.72,0,0,0,0,1,0
374,7.0,1.0,4.9,1.14,0,0,1,0,0,0
375,1.9,0.7,2.8,1.66,1,0,0,0,1,0
376,5.0,1.48,5.9,1.14,0,0,0,1,0,0
378,5.5,1.8,5.9,1.64,0,0,1,0,0,0
379,1.9,0.94,2.9,1.14,1,0,0,0,1,0
380,5.6,1.28,4.8,2.04,0,0,0,0,0,1
381,6.0,1.67,6.7,1.1,0,0,1,0,0,0
383,4.2,2.09,3.6,1.56,0,0,0,0,1,0
384,3.6,1.36,4.1,1.58,0,0,0,0,1,0
386,5.0,1.1,5.5,1.75,0,0,0,1,0,0
387,6.2,2.27,6.2,2.52,0,1,1,0,0,0
390,5.7,1.0,6.2,0.6,0,1,1,0,0,0
391,5.5,1.57,6.1,0.94,0,0,1,0,0,0
392,3.4,1.69,4.8,1.47,0,0,0,0,1,0
393,6.0,0.77,6.4,0.66,1,0,1,0,0,0
395,6.7,1.27,6.2,1.4,1,0,1,0,0,0
397,7.0,1.26,7.0,1.34,0,0,1,0,0,0
399,6.7,0.9,7.0,1.0,0,0,1,0,0,0
400,5.1,1.7,5.6,1.11,0,0,1,0,0,0
401,5.5,1.43,6.4,1.2,0,0,1,0,0,0
402,7.1,1.04,7.1,0.94,1,0,1,0,0,0
403,5.1,1.64,5.2,1.66,0,0,1,0,0,0
404,6.9,1.37,6.8,1.33,0,0,1,0,0,0
405,6.1,1.92,7.4,0.92,0,0,1,0,0,0
406,5.3,2.1,4.3,2.19,1,0,0,0,0,1
407,4.3,1.68,4.5,1.63,0,0,0,0,1,0
408,6.6,2.37,6.1,2.02,0,0,1,0,0,0
410,3.8,1.99,5.1,1.7,0,0,0,1,0,0
415,6.0,1.1,5.2,1.83,0,0,1,0,0,0
416,5.5,1.75,5.2,1.6,0,0,1,0,0,0
419,3.3,2.0,4.0,1.41,0,0,0,0,1,0
420,4.5,1.28,5.4,1.28,0,0,0,1,0,0
422,2.8,1.72,3.7,2.45,0,1,0,0,1,0
423,5.2,2.48,4.5,2.29,1,0,0,0,0,1
425,7.1,0.7,6.8,0.87,1,0,1,0,0,0
426,5.3,1.68,5.3,1.42,0,0,1,0,0,0
427,5.2,1.47,5.8,0.75,0,0,1,0,0,0
428,6.6,1.02,6.6,0.92,0,1,1,0,0,0
429,3.3,1.1,4.3,1.9,1,0,0,0,1,0
430,4.0,2.24,2.9,1.04,0,0,0,0,1,0
431,6.1,1.76,5.5,1.91,0,0,1,0,0,0
432,5.3,2.0,5.3,1.68,0,0,1,0,0,0
435,4.5,1.75,5.9,1.51,0,0,0,1,0,0
436,4.3,2.0,5.2,1.83,0,0,0,1,0,0
437,5.2,1.83,4.3,2.1,0,0,0,0,0,1
440,5.3,2.15,6.3,1.73,1,0,1,0,0,0
441,4.6,1.69,5.1,1.51,0,1,0,1,0,0
